voxel_col,x,y,z
1205,7,30,6
1206,8,30,6
1207,9,30,6
1208,14,30,6
1209,15,30,6
1210,16,30,6
1211,17,30,6
1212,36,30,6
1213,37,30,6
1214,41,30,6
1215,43,30,6
1216,44,30,6
1217,45,30,6
1218,5,31,6
1219,6,31,6
1220,7,31,6
1221,8,31,6
1222,9,31,6
1223,10,31,6
1224,15,31,6
1225,16,31,6
1226,17,31,6
1227,35,31,6
1228,36,31,6
1229,37,31,6
1230,43,31,6
1231,44,31,6
1232,45,31,6
1233,5,32,6
1234,6,32,6
1235,7,32,6
1236,8,32,6
1237,9,32,6
1238,10,32,6
1239,15,32,6
1240,16,32,6
1241,17,32,6
1242,18,32,6
1243,33,32,6
1244,34,32,6
1245,35,32,6
1246,43,32,6
1247,44,32,6
1248,45,32,6
1249,6,33,6
1250,7,33,6
1251,8,33,6
1252,9,33,6
1253,10,33,6
1254,11,33,6
1255,16,33,6
1256,17,33,6
1257,18,33,6
1258,19,33,6
1259,20,33,6
1260,32,33,6
1261,33,33,6
1262,34,33,6
1263,42,33,6
1264,43,33,6
1265,44,33,6
1266,45,33,6
1267,6,34,6
1268,7,34,6
1269,8,34,6
1270,9,34,6
1271,10,34,6
1272,16,34,6
1273,17,34,6
1274,18,34,6
1275,19,34,6
1276,20,34,6
1277,32,34,6
1278,33,34,6
1279,34,34,6
1280,35,34,6
1281,42,34,6
1282,43,34,6
1283,44,34,6
1284,6,35,6
1285,7,35,6
1286,8,35,6
1287,9,35,6
1288,10,35,6
1289,11,35,6
1290,17,35,6
1291,18,35,6
1292,19,35,6
1293,20,35,6
1294,32,35,6
1295,33,35,6
1296,34,35,6
1297,35,35,6
1298,42,35,6
1299,43,35,6
1300,44,35,6
1301,6,36,6
1302,7,36,6
1303,8,36,6
1304,9,36,6
1305,10,36,6
1306,11,36,6
1307,12,36,6
1308,17,36,6
1309,18,36,6
1310,19,36,6
1311,32,36,6
1312,34,36,6
1313,42,36,6
1314,43,36,6
1315,7,37,6
1316,8,37,6
1317,9,37,6
1318,10,37,6
1319,11,37,6
1320,12,37,6
1321,42,37,6
1322,43,37,6
1323,8,38,6
1324,9,38,6
1325,10,38,6
1326,11,38,6
1327,12,38,6
1328,13,38,6
1329,40,38,6
1330,41,38,6
1331,42,38,6
1332,43,38,6
1333,8,39,6
1334,9,39,6
1335,10,39,6
1336,11,39,6
1337,12,39,6
1338,13,39,6
1339,41,39,6
1340,42,39,6
1341,43,39,6
1342,8,40,6
1343,9,40,6
1344,10,40,6
1345,11,40,6
1346,12,40,6
1347,13,40,6
1348,41,40,6
1349,8,41,6
1350,9,41,6
1351,10,41,6
1352,11,41,6
1353,12,41,6
1354,13,41,6
1355,16,41,6
1356,41,41,6
1357,10,42,6
1358,11,42,6
1359,12,42,6
1360,13,42,6
1361,14,42,6
1362,16,42,6
1363,40,42,6
1364,11,43,6
1365,12,43,6
1366,13,43,6
1367,14,43,6
1368,15,43,6
1369,16,43,6
1370,40,43,6
1371,11,44,6
1372,12,44,6
1373,13,44,6
1374,14,44,6
1375,15,44,6
1376,16,44,6
1377,17,44,6
1378,18,44,6
1379,12,45,6
1380,13,45,6
1381,14,45,6
1382,15,45,6
1383,16,45,6
1384,17,45,6
1385,18,45,6
1386,15,46,6
1387,16,46,6
1388,17,46,6
1389,18,46,6
1390,22,6,7
1391,31,6,7
1392,36,6,7
1393,17,7,7
1394,21,7,7
1395,22,7,7
1396,23,7,7
1397,31,7,7
1398,33,7,7
1399,35,7,7
1400,36,7,7
1401,37,7,7
1402,15,8,7
1403,16,8,7
1404,17,8,7
1405,22,8,7
1406,23,8,7
1407,29,8,7
1408,30,8,7
1409,31,8,7
1410,32,8,7
1411,33,8,7
1412,36,8,7
1413,37,8,7
1414,38,8,7
1415,14,9,7
1416,15,9,7
1417,16,9,7
1418,17,9,7
1419,18,9,7
1420,19,9,7
1421,20,9,7
1422,21,9,7
1423,22,9,7
1424,23,9,7
1425,28,9,7
1426,29,9,7
1427,30,9,7
1428,31,9,7
1429,32,9,7
1430,33,9,7
1431,34,9,7
1432,36,9,7
1433,37,9,7
1434,38,9,7
1435,39,9,7
1436,14,10,7
1437,15,10,7
1438,16,10,7
1439,18,10,7
1440,19,10,7
1441,20,10,7
1442,21,10,7
1443,22,10,7
